Date,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
2023-01-15,USA,334805269,103573042,,1125539,,100319072,,2128431,4767,309353,3362,1157704634,3457845
2023-01-15,India,1406631776,44681884,,530726,,44148165,,2993,698,31765,377,912362106,648615
2023-01-15,France,65584518,39447605,,163347,,39020091,,264167,869,601477,2491,271490188,4139547
2023-01-15,Germany,83883596,37605135,,163775,,37023100,5600,418260,1281,448301,1952,122332384,1458359
2023-01-15,Brazil,215353593,36634134,,695369,,35497700,,441065,8318,170112,3229,63776166,296146
2023-01-15,Japan,125584838,31416633,108281,62679,415,21350560,20274,10003394,672,250163,499,88389228,703821
2023-01-15,S. Korea,51329899,29806891,32570,32949,37,28826801,87472,947141,499,580693,642,15804065,307892
2023-01-15,Italy,60262770,25363742,,185993,,24824106,,353643,310,420886,3086,264182282,4383839
2023-01-15,UK,68497907,24243393,,202157,,23917684,5754,123552,146,353929,2951,522526476,7628357
2023-01-15,Russia,145805947,21856613,4789,394398,43,21274640,3208,187575,2300,149902,2705,273400000,1875095
2023-01-15,Turkey,85561976,17042722,,101492,,,,,,199186,1186,162743369,1902052
2023-01-15,Spain,46719142,13711251,,117759,,13522850,,70642,231,293483,2521,471036328,10082298
2023-01-15,Vietnam,98953541,11526140,22,43186,,10612105,16,870849,5,116480,436,85826548,867342
2023-01-15,Australia,26068792,11247412,,17712,,11146950,,82750,102,431451,679,78835048,3024116
2023-01-15,Argentina,46010234,10004679,,130249,,9743203,8843,131227,402,217445,2831,35716069,776264
2023-01-15,Taiwan,23888595,9209474,21270,15833,31,8697814,14169,495827,,385518,663,29726042,1244361
2023-01-15,Netherlands,17211447,8577856,,22989,,8532274,,22593,55,498381,1336,25984435,1509718
2023-01-15,Iran,86022837,7562495,,144724,,7336691,,81080,175,87913,1682,54420785,632632
2023-01-15,Mexico,131562772,7309154,,331510,,6536180,,441464,4798,55556,2520,19198152,145924
2023-01-15,Indonesia,279134505,6726086,239,160727,3,6558201,366,7158,2771,24096,576,114158919,408975
2023-01-15,Poland,37739785,6373315,77,118651,,5335940,,918724,1101,168875,3144,38053148,1008303
2023-01-15,Colombia,51512762,6349971,,142259,,6170360,,37352,342,123270,2762,36951507,717327
2023-01-15,Austria,9066710,5740581,,21564,,5691499,,27518,61,633149,2378,205094777,22620639
2023-01-15,Portugal,10140570,5557941,,25805,,5527064,213,5072,61,548090,2545,45855210,4521956
2023-01-15,Greece,10316637,5548487,,34779,,5513708,,0,115,537819,3371,102228365,9909078
2023-01-15,Ukraine,43192122,5364322,,110920,,5245648,457,7754,,124197,2568,32603805,754855
2023-01-15,Chile,19250195,5084978,,63496,,5011915,,9567,128,264152,3298,47916106,2489123
2023-01-15,Malaysia,33181072,5032433,,36908,,4984891,,10634,20,151666,1112,67397156,2031193
2023-01-15,Israel,9326000,4775760,,12111,,4755503,,8146,57,512091,1299,41373364,4436346
2023-01-15,DPRK,25990679,4772813,,74,,4772739,,0,,183636,3,,
2023-01-15,Thailand,70078203,4724916,,33727,,4690108,,1081,1496,67423,481,17270775,246450
2023-01-15,Belgium,11668278,4686147,,33478,,4624820,1275,27849,92,401614,2869,36481740,3126574
2023-01-15,Czechia,10736784,4584920,35,42254,1,4537328,23,5338,36,427029,3935,56839007,5293858
2023-01-15,Canada,38388419,4508275,,49566,,4403078,2361,55631,99,117438,1291,66343123,1728207
2023-01-15,Peru,33684208,4474580,,218509,,4241610,316,14461,75,132839,6487,37558832,1115028
2023-01-15,Switzerland,8773637,4383648,,14407,,4343795,2263,25446,53,499639,1642,23304439,2656189
